time,open,high,low,close,Basis,Upper,Lower,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,ADX
2018-10-15,0.069655,0.08199,0.0685,0.07535,0.11670408500000007,0.18688369996005272,0.04652447003994743,40.62319046875428,41.94491951647508,NaN,NaN,NaN,NaN,-0.00015223713102214403,-0.04157669508406164,-0.0414244579530395,17.25408720690427
2018-10-22,0.075122,0.077449,0.07,0.0726,0.11154033500000007,0.17867688038357826,0.0444037896164219,40.28408728615611,41.48693679821357,NaN,NaN,NaN,NaN,0.0007387334967272896,-0.04050104108213039,-0.04123977457885768,18.077679809258157
2018-10-29,0.072807,0.077898,0.068,0.077407,0.10732558500000004,0.17187043483576364,0.042780735164236444,41.207939763505166,41.12842131732571,NaN,NaN,NaN,NaN,0.0019411976574607373,-0.03881327750703176,-0.040754475164492494,18.796894447409503
2018-11-05,0.077,0.081674,0.073208,0.0763,0.10456148500000007,0.1694484582401603,0.03967451175983984,41.05043687651399,40.93598736160192,NaN,NaN,NaN,NaN,0.0028940227258096238,-0.03713694675723046,-0.04003096948304009,19.515893878823583
2018-11-12,0.07608,0.076799,0.056,0.060815,0.10034508500000008,0.16509526877164105,0.035594901228359135,38.815520377068744,40.68580310923663,NaN,NaN,NaN,NaN,0.0027162637492500336,-0.03663563979647755,-0.03935190354572758,19.754266936585
2018-11-19,0.060971,0.075,0.027,0.037099,0.09490803500000008,0.16169423299812888,0.02812183700187129,35.61722538423527,40.26473334303322,NaN,NaN,NaN,NaN,0.0013077209102671725,-0.037717252407893614,-0.03902497331816079,19.29082828821217
2018-11-26,0.037175,0.05,0.031,0.0412,0.0898100850000001,0.15665108548818288,0.02296908451181731,36.590202183727406,39.96817854396401,NaN,NaN,NaN,NaN,0.0009738201276260627,-0.03780769815862821,-0.03878151828625427,18.860492400437405
2018-12-03,0.041318,0.04379,0.025601,0.031198,0.08287773500000009,0.1435526657207619,0.022202804279238292,35.193273532055215,39.474052683931085,NaN,NaN,NaN,NaN,0.0004287477515196522,-0.038245583596854704,-0.038674331348374356,18.326835701554387
2018-12-10,0.031499,0.0315,0.027002,0.028723,0.0761276350000001,0.12883895096647205,0.02341631903352815,34.8388308417603,39.12420190743236,NaN,NaN,NaN,NaN,0.00025926905905078457,-0.03835024502456088,-0.038609514083611664,17.83129733830587
2018-12-17,0.028955,0.044804,0.028811,0.043898,0.07174293500000009,0.11963939804303747,0.02384647195696271,38.901882714611524,39.10969342264324,NaN,NaN,NaN,NaN,0.001459880403888017,-0.03678466357875164,-0.038244543982639656,17.657326419129205
